Id,Company,Sector,Year,Revenue,Expenses,Profit
1,Company_1,IT,2023,250000,180000,70000
2,Company_2,Finance,2024,320000,210000,110000
2,Company_2,Finance,2024,320000,210000,110000
2,Company_2,Finance,2024,320000,210000,110000
5,Company_5,Manufacturing,2023,280000,260000,20000
6,Company_6,IT,2024,310000,200000,110000
7,Company_7,Finance,2022,500000,350000,150000
8,Company_8,Retail,2023,180000,140000,40000
9,Company_9,Energy,2024,420000,390000,30000
10,Company_10,Manufacturing,2025,260000,220000,40000
11,Company_11,IT,2022,300000,250000,50000
12,Company_12,Finance,2023,450000,300000,150000
13,Company_13,Retail,2024,200000,150000,50000
14,Company_14,Energy,2022,380000,310000,70000
15,Company_15,Manufacturing,2023,270000,240000,30000
16,Company_16,IT,2025,350000,280000,70000
17,Company_17,Finance,2024,480000,400000,80000
18,Company_18,Retail,2022,160000,130000,30000
19,Company_19,Energy,2023,410000,360000,50000
20,Company_20,Manufacturing,2024,290000,260000,30000
21,Company_21,IT,2023,330000,250000,80000
22,Company_22,Finance,2022,520000,420000,100000
23,Company_23,Retail,2025,190000,160000,30000
24,Company_24,Energy,2024,450000,380000,70000
25,Company_25,Manufacturing,2023,260000,230000,30000
26,Company_26,IT,2024,340000,260000,80000
27,Company_27,Finance,2025,500000,410000,90000
28,Company_28,Retail,2022,170000,140000,30000
29,Company_29,Energy,2023,430000,390000,40000
30,Company_30,Manufacturing,2024,300000,270000,30000
31,Company_31,IT,2022,310000,240000,70000
32,Company_32,Finance,2023,470000,350000,120000
33,Company_33,Retail,2024,210000,180000,30000
34,Company_34,Energy,2025,460000,400000,60000
35,Company_35,Manufacturing,2022,250000,220000,30000
36,Company_36,IT,2023,360000,290000,70000
37,Company_37,Finance,2024,490000,420000,70000
38,Company_38,Retail,2025,200000,170000,30000
39,Company_39,Energy,2022,440000,380000,60000
40,Company_40,Manufacturing,2023,280000,250000,30000
41,Company_41,IT,2024,370000,300000,70000
42,Company_42,Finance,2025,510000,430000,80000
43,Company_43,Retail,2022,150000,120000,30000
44,Company_44,Energy,2023,420000,370000,50000
45,Company_45,Manufacturing,2024,310000,280000,30000
46,Company_46,IT,2025,380000,310000,70000
47,Company_47,Finance,2022,530000,440000,90000
48,Company_48,Retail,2023,180000,150000,30000
49,Company_49,Energy,2024,460000,400000,60000
50,Company_50,Manufacturing,2025,290000,260000,30000
